Date;Credit_Portfolio_Total_BRL_mn;Credit_Portfolio_Corporate_BRL_mn;Credit_Portfolio_Retail_BRL_mn;Delinquency_15-90d_Total_%;Delinquency_15-90d_Corporate_%;Delinquency_15-90d_Retail_%;Interest_Rate_NonEarmarked_Corporate_%am;Interest_Rate_NonEarmarked_Retail_%am;Default_Rate_Personal_NonPayroll_%;Default_Rate_Personal_Payroll_Private_%;Default_Rate_Revolving_Credit_Card_%;Default_Rate__Corporate_SMBs_%;Default_Rate_Corporate_Large_%;Unemployment_Rate_PNADC_%;Inflation_IPC-Br_%;Net_Debt_FedGov_CenBank_%GDP;Net_Debt_Consolidated_%GDP;Primary_Result_YTD_ex-FX_BRL_mn
01/12/2015;3229576;1710914;1518662;4.01;2.55;5.65;2.19;4.14;9.44;5.48;40.38;5.06;0.61;9.1;0.88;21.9;35.64;111248.87
01/01/2016;3208123;1686224;1521900;4.24;2.67;5.98;2.3;4.3;9.52;5.53;39.58;5.27;0.64;9.6;1.78;21.52;35.34;-27912.84
01/02/2016;3192287;1669474;1522813;4.1;2.53;5.82;2.32;4.38;9.7;5.47;35.81;5.4;0.69;10.3;0.76;23.22;36.28;-4872.88
01/03/2016;3170854;1643265;1527590;4.65;3.19;6.22;2.25;4.45;9.7;5.43;36.6;5.53;0.72;11.1;0.5;25.4;38.33;5770.65
01/04/2016;3150823;1624448;1526375;4.44;2.87;6.11;2.25;4.54;10.19;5.28;36.4;5.85;0.8;11.3;0.49;25.99;38.87;-4411.06
01/05/2016;3157795;1624441;1533354;4.69;3.23;6.23;2.2;4.56;9.84;5.32;37.45;6;0.89;11.3;0.64;26.1;39.09;13714.27
01/06/2016;3140231;1603433;1536798;4.48;3.05;5.96;2.21;4.53;9.24;5.12;36.8;5.58;0.9;11.4;0.26;28.55;41.35;23775.68
01/07/2016;3126702;1588513;1538189;4.59;3.08;6.16;2.23;4.56;9.34;5.12;36.96;5.79;0.88;11.7;0.37;29.67;41.93;36591.75
01/08/2016;3125535;1578740;1546795;4.73;3.32;6.17;2.24;4.58;9.4;4.95;36.95;6.24;0.79;11.9;0.32;29.79;42.81;58858.7
01/09/2016;3121960;1571752;1550208;4.87;3.08;6.68;2.18;4.65;9.53;4.91;36.1;6.07;0.98;11.9;0.07;30.67;43.63;85501.34
01/10/2016;3105525;1557581;1547944;4.64;2.6;6.69;2.23;4.67;8.85;4.92;36.11;6.3;1.35;11.9;0.34;30.92;43.88;45912.43
01/11/2016;3114587;1556307;1558281;4.44;2.56;6.32;2.19;4.67;8.7;4.89;35.55;6.33;1.24;12;0.17;30.92;43.99;85053.25
01/12/2016;3117809;1548645;1569164;4.46;3.08;5.82;2.08;4.57;8.78;4.85;37.2;6.23;1.28;12.2;0.33;33.34;46.14;155790.61
01/01/2017;3086116;1511586;1574530;5.11;3.88;6.3;2.12;4.61;8.57;4.84;36.06;6.27;1.26;12.7;0.69;33.85;46.46;-36712.04
01/02/2017;3083038;1507526;1575512;4.65;3.16;6.07;2.12;4.62;8.25;4.71;33.22;6.41;1.21;13.3;0.31;34.7;47.26;-13244.29
01/03/2017;3090455;1505787;1584667;5.01;3.52;6.42;2.03;4.58;8.3;4.77;34.48;6.36;1.66;13.9;0.47;35.07;47.53;-2197.33
